,id_labels,pred
0,1698001_y1,0.54927623
1,1698001_y2,0.73384315
2,1698001_y3,1.2550651
3,1698001_y4,0.030228142
4,1698001_y5,0.29545528
5,1698001_y6,0.19645652
6,1698001_y7,0.28057182
7,1698001_y8,0.6989526
8,1698001_y9,-0.04702912
9,1698001_y10,1.0647025
10,1698001_y11,0.6045108
11,1698001_y12,1.0124295
12,1698001_y13,0.69306594
13,1698001_y14,0.40587854
14,1698001_y15,0.6450539
15,1698001_y16,-0.034664925
16,1698001_y17,0.16943099
17,1698001_y18,0.49746886
18,1698001_y19,1.2978901
19,1698001_y20,0.3522896
20,1698001_y21,0.31335947
21,1698001_y22,0.62445134
22,1698001_y23,-0.0035974747
23,1698001_y24,0.23840027
24,1698001_y25,0.6937456
25,1698001_y26,0.936473
26,1698001_y27,1.0296619
27,1698001_y28,-0.047692794
28,1698001_y29,0.78700227
29,1698001_y30,1.040352
30,1698001_y31,0.6841159
31,1698001_y32,0.75595343
32,1698001_y33,0.7215252
33,1698002_y1,0.958494
34,1698002_y2,0.8644269
35,1698002_y3,-0.008184876
36,1698002_y4,0.7231311
37,1698002_y5,0.8196416
38,1698002_y6,0.32441282
39,1698002_y7,0.25046968
40,1698002_y8,0.96384966
41,1698002_y9,0.9345421
42,1698002_y10,0.16026105
43,1698002_y11,0.059662096
44,1698002_y12,1.0737175
45,1698002_y13,0.7093931
46,1698002_y14,0.8492751
47,1698002_y15,0.9593464
48,1698002_y16,0.4164966
49,1698002_y17,0.8210503
50,1698002_y18,0.40677515
51,1698002_y19,1.0104496
52,1698002_y20,0.52434146
53,1698002_y21,0.092681
54,1698002_y22,0.7495992
55,1698002_y23,0.23794506
56,1698002_y24,0.34992683
57,1698002_y25,0.92788595
58,1698002_y26,0.8060117
59,1698002_y27,0.35964966
60,1698002_y28,0.21420881
61,1698002_y29,0.17671084
62,1698002_y30,0.35655925
63,1698002_y31,0.6375833
64,1698002_y32,0.5751386
65,1698002_y33,0.24168725
66,1698003_y1,0.3385882
67,1698003_y2,0.2116597
68,1698003_y3,0.5578613
69,1698003_y4,0.5903877
70,1698003_y5,0.19950522
71,1698003_y6,0.78558326
72,1698003_y7,0.8902912
73,1698003_y8,0.7304858
74,1698003_y9,0.16271149
75,1698003_y10,0.5447398
76,1698003_y11,0.55368745
77,1698003_y12,0.6569479
78,1698003_y13,0.14425391
79,1698003_y14,0.2770998
80,1698003_y15,0.30417114
81,1698003_y16,0.8170013
82,1698003_y17,1.0198646
83,1698003_y18,0.6840292
84,1698003_y19,0.04481538
85,1698003_y20,0.61766094
86,1698003_y21,0.9519495
87,1698003_y22,0.92402464
88,1698003_y23,0.35141447
89,1698003_y24,0.26686832
90,1698003_y25,0.5141016
91,1698003_y26,0.3056417
92,1698003_y27,0.6983349
93,1698003_y28,0.06957526
94,1698003_y29,0.21569301
95,1698003_y30,1.0073576
96,1698003_y31,0.6041962
97,1698003_y32,0.83029073
98,1698003_y33,0.6879544
99,1698004_y1,0.4644125
100,1698004_y2,0.49819803
101,1698004_y3,0.71545887
102,1698004_y4,0.6299876
103,1698004_y5,0.20877115
104,1698004_y6,0.7114161
105,1698004_y7,0.61643547
106,1698004_y8,0.4627007
107,1698004_y9,0.18675533
108,1698004_y10,1.1834213
109,1698004_y11,0.29331672
110,1698004_y12,0.4672979
111,1698004_y13,0.954487
112,1698004_y14,0.7030678
113,1698004_y15,0.8575843
114,1698004_y16,0.38270545
115,1698004_y17,0.9039004
116,1698004_y18,0.14266445
117,1698004_y19,0.36050975
118,1698004_y20,0.94673353
119,1698004_y21,1.0827553
120,1698004_y22,1.0047953
121,1698004_y23,0.36670956
122,1698004_y24,0.15961696
123,1698004_y25,0.5882416
124,1698004_y26,0.1051339
125,1698004_y27,0.27760893
126,1698004_y28,-0.028377527
127,1698004_y29,0.72333336
128,1698004_y30,0.6511843
129,1698004_y31,0.636155
130,1698004_y32,0.88411045
131,1698004_y33,-0.07273957
132,1698005_y1,0.089706436
133,1698005_y2,0.40645802
134,1698005_y3,0.8051366
135,1698005_y4,0.19392201
136,1698005_y5,0.4880866
137,1698005_y6,0.7247237
138,1698005_y7,0.93207264
139,1698005_y8,0.5241783
140,1698005_y9,0.17938979
141,1698005_y10,1.0616503
142,1698005_y11,0.73687744
143,1698005_y12,0.6711506
144,1698005_y13,0.21280892
145,1698005_y14,0.40050238
146,1698005_y15,1.0202812
147,1698005_y16,0.16686033
148,1698005_y17,0.32909313
149,1698005_y18,0.7781476
150,1698005_y19,0.69854456
151,1698005_y20,0.30280405
152,1698005_y21,0.6436067
153,1698005_y22,0.03838433
154,1698005_y23,0.8093968
155,1698005_y24,0.1598173
156,1698005_y25,1.0021197
157,1698005_y26,0.7953815
158,1698005_y27,0.21987572
159,1698005_y28,-0.21141642
160,1698005_y29,-0.05051206
161,1698005_y30,0.6401428
162,1698005_y31,0.62117755
163,1698005_y32,0.21668762
164,1698005_y33,0.4933527
165,1698006_y1,0.79012054
166,1698006_y2,1.1387161
167,1698006_y3,0.9564849
168,1698006_y4,1.2071263
169,1698006_y5,0.29857683
170,1698006_y6,0.77184695
171,1698006_y7,0.07098899
172,1698006_y8,0.010020998
173,1698006_y9,0.6805157
174,1698006_y10,0.8196484
175,1698006_y11,0.8857955
176,1698006_y12,0.7554507
177,1698006_y13,0.3388248
178,1698006_y14,0.4565255
179,1698006_y15,-0.10637779
180,1698006_y16,0.8391162
181,1698006_y17,0.075897016
182,1698006_y18,0.7554367
183,1698006_y19,0.65914977
184,1698006_y20,0.5634263
185,1698006_y21,0.64962524
186,1698006_y22,0.65454614
187,1698006_y23,0.5480359
188,1698006_y24,0.4486972
189,1698006_y25,0.8850317
190,1698006_y26,0.40260735
191,1698006_y27,0.38789842
192,1698006_y28,0.58832633
193,1698006_y29,0.12548988
194,1698006_y30,0.6781847
195,1698006_y31,0.7841729
196,1698006_y32,0.86087996
197,1698006_y33,0.81510097
198,1698007_y1,0.09548175
199,1698007_y2,0.71784604
200,1698007_y3,0.65814894
201,1698007_y4,0.11335251
202,1698007_y5,0.45822817
203,1698007_y6,1.0275636
204,1698007_y7,0.35622212
205,1698007_y8,0.65296566
206,1698007_y9,0.0867502
207,1698007_y10,0.76173085
208,1698007_y11,0.4995419
209,1698007_y12,-0.03787745
210,1698007_y13,0.7336919
211,1698007_y14,0.4498583
212,1698007_y15,0.19155167
213,1698007_y16,0.30548355
214,1698007_y17,0.64637274
215,1698007_y18,0.6538613
216,1698007_y19,0.68246776
217,1698007_y20,0.45881322
218,1698007_y21,0.05220023
219,1698007_y22,0.30448824
220,1698007_y23,1.0814518
221,1698007_y24,0.8129264
222,1698007_y25,0.41453248
223,1698007_y26,0.4312928
224,1698007_y27,0.23169343
225,1698007_y28,0.6503586
226,1698007_y29,0.53945947
227,1698007_y30,0.7303523
228,1698007_y31,0.36240518
229,1698007_y32,0.5299072
230,1698007_y33,-0.034700446
231,1698008_y1,0.8517965
232,1698008_y2,0.80795246
233,1698008_y3,0.8323678
234,1698008_y4,0.3587302
235,1698008_y5,0.2346887
236,1698008_y6,0.77366006
237,1698008_y7,0.84554183
238,1698008_y8,-0.057637323
239,1698008_y9,1.057509
240,1698008_y10,0.75543606
241,1698008_y11,0.83372355
242,1698008_y12,-0.029770458
243,1698008_y13,-0.10214245
244,1698008_y14,-0.06922614
245,1698008_y15,0.89480346
246,1698008_y16,0.43403623
247,1698008_y17,0.89594525
248,1698008_y18,0.68455756
249,1698008_y19,0.65866584
250,1698008_y20,1.251812
251,1698008_y21,0.7312543
252,1698008_y22,0.54489255
253,1698008_y23,0.843264
254,1698008_y24,0.5287342
255,1698008_y25,0.9125766
256,1698008_y26,1.0496981
257,1698008_y27,0.5011589
258,1698008_y28,0.40623438
259,1698008_y29,0.37898487
260,1698008_y30,-0.119348235
261,1698008_y31,0.15406305
262,1698008_y32,0.7898747
263,1698008_y33,0.60612494
264,1698009_y1,0.09253427
265,1698009_y2,0.7341455
266,1698009_y3,0.68600017
267,1698009_y4,0.5478626
268,1698009_y5,0.033099145
269,1698009_y6,1.0123326
270,1698009_y7,0.2289938
271,1698009_y8,0.24504535
272,1698009_y9,0.6293982
273,1698009_y10,1.0342131
274,1698009_y11,1.1899334
275,1698009_y12,0.098771356
276,1698009_y13,0.85600466
277,1698009_y14,0.24238831
278,1698009_y15,0.5582073
279,1698009_y16,0.7318866
280,1698009_y17,0.13213949
281,1698009_y18,0.52109766
282,1698009_y19,-0.15064694
283,1698009_y20,0.698372
284,1698009_y21,0.68337786
285,1698009_y22,0.44663092
286,1698009_y23,0.79918146
287,1698009_y24,0.7701
288,1698009_y25,0.10508822
289,1698009_y26,0.55051833
290,1698009_y27,0.74577445
291,1698009_y28,0.8831296
292,1698009_y29,-0.0033530612
293,1698009_y30,0.6417309
294,1698009_y31,0.7333224
295,1698009_y32,-0.032791708
296,1698009_y33,0.8077557
297,1698010_y1,0.094010636
298,1698010_y2,0.7154989
299,1698010_y3,1.1466248
300,1698010_y4,1.125371
301,1698010_y5,0.09308504
302,1698010_y6,0.48288214
303,1698010_y7,0.5601488
304,1698010_y8,0.37102655
305,1698010_y9,0.28267813
306,1698010_y10,0.0778104
307,1698010_y11,1.0370662
308,1698010_y12,0.1691455
309,1698010_y13,0.99423367
310,1698010_y14,0.05084733
311,1698010_y15,0.88152045
312,1698010_y16,0.57000417
313,1698010_y17,0.65085864
314,1698010_y18,0.29339352
315,1698010_y19,0.8237921
316,1698010_y20,0.680602
317,1698010_y21,0.8063254
318,1698010_y22,0.5465678
319,1698010_y23,0.03966292
320,1698010_y24,0.6562636
321,1698010_y25,0.676325
322,1698010_y26,0.80614257
323,1698010_y27,0.90645134
324,1698010_y28,0.018723547
325,1698010_y29,1.0816807
326,1698010_y30,0.6489361
327,1698010_y31,0.16388352
328,1698010_y32,0.5369299
329,1698010_y33,0.32101822
330,1698011_y1,0.80445546
331,1698011_y2,0.88263845
332,1698011_y3,0.82179666
333,1698011_y4,0.59603167
